"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"274","20288-7","Projeto sistema de verificação de conformidade legal de projetos de plantas industriais.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste projeto de pesquisa é investigar a viabilidade de realizar a verificação de conformidade legal de projetos de engenharia de forma automatizada no ambiente de sistemas de plant design e com resultados explicitados na visualização 3D. A partir de um estudo sistemático da norma NR-13, serão consolidadas as principais verificações que podem ser automatizadas em relação a equipamentos estáticos, dentro da disciplina de equipamentos mecânicos.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO",NA,NA,"PUC-Rio","PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio",NA,"26/12/2017",24,"R$ 1400467,12","PUC-Rio"
"275","20289-5","Mapeamento Digital de Solos em Áreas de Exploração e Produção de Óleo e Gás - Estudos de caso dos campos do Norte e do Nordeste Brasileiro","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Fornecer conhecimento de solos para subsidiar a gestão territorial e ambiental de alguns campos terrestres de exploração e produção de gás e petróleo na região Norte e Nordeste.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","AVALIAÇÃO E GERENCIAMENTO DE RISCOS",NA,NA,"UFRRJ","UFRRJ - LASA - Laboratório de Água e Solos em Agroecossitemas",NA,"26/12/2017",48,"R$ 5750534,35","UFRRJ"
"276","20290-3","OCTOPUS 4.0 - Sistema Integrado de Gerência de Reservatórios.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste projeto é prover o apoio à decisão à área de Simulação e Gerenciamento de Reservatórios de forma ampla, através do desenvolvimento e extensão de um sistema computacional integrado fundamentado em técnicas de Inteligência Computacional e modelos matemáticos, capaz de propor planos de drenagem sob condições de certeza e incerteza, respeitando as restrições inerentes ao problema.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO)",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de Inteligência Computacional Aplicada - ICA",NA,"26/12/2017",36,"R$ 7785364,20","PUC-Rio"
"277","20291-1","Especiação de Hidrocarbonetos em Emissões Veiculares","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de uma metodologia para a determinação dos hidrocarbonetos nas emissões de escapamento e evaporativas de origem veicular, de modo a avaliar o efeito da composição dos combustíveis automotivos na qualidade do ar.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MODELAGEM E PREVENÇÃO DE IMPACTOS AMBIENTAIS",NA,NA,"UFRJ","UFRJ - Laboratório de Química Atmosférica e Poluição",NA,"22/12/2017",24,"R$ 462717,36","UFRJ"
"278","20292-9","Projeto Sistemas Continentais - Desenvolvimento de Rotinas Numéricas para Simulação de Sedimentação e Diagênese Siliciclástica e Carbonática","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver algoritmos capazes de representar e simular a deposição de sedimentos tanto em sistemas aluviais e fluviais (siliciclásticos) como em sistemas lacustres, carbonáticos e evaporíticos (carbonatos e evaporitos).","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES",NA,NA,"UNISINOS","UNISINOS - GEOARQ",NA,"22/12/2017",48,"R$ 7062244,64","UNISINOS"
"279","20293-7","Desenvolvimento de materiais avançados de carbono","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo geral do projeto consiste em desenvolver metodologia para a fiação de piche de petróleo contendo diferentes frações de polietileno de alto módulo, de maneira a obter um fio estável precursor de fibras de carbono.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"SENAI-RJ","SENAI-RJ - INSTITUTO SENAI DE INOVAÇÃO EM BIOSSINTÉTICOS_OFICIAL",NA,"26/12/2017",20,"R$ 453640,00","SENAI-RJ"
"280","20294-5","Equilíbrio de Fases, Densidades e Viscosidade de Misturas de Hidrocarbonetos, Metano e CO2 em Pressões Elevadas","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","O objetivo do presente é determinar experimentalmente diagramas de fases, densidades e viscosidades de misturas de óleos vivos contendo CO2 com diferentes condições de composição, pressão e temperatura. Pretende-se testar diferentes estratégias de modelagens termodinâmicas e diferentes modelos de equações de estado e de viscosidade para descrever os dados experimentais obtidos no âmbito do projeto.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","PROCESSAMENTO PRIMÁRIO DE FLUIDOS",NA,NA,"UFRJ","UFRJ - Laboratório ATOMS - Termodinâmica Aplicada e Simulação Molecular",NA,"26/12/2017",36,"R$ 1241349,28","UFRJ"
"281","20295-2","Estudo da soldagem de aços inoxidáveis duplex e de aços carbonos com clad em Inconel 625 para avaliação da influência da oxidação devido à ineficiência de purga na resistência à corrosão.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo principal deste projeto é desenvolver metodologias de união de tubos considerando diferentes níveis de contaminação do gás de purga e de fases deletérias formadas e aplicar esta metodologia  para produzir juntas soldadas de aços revestidos com ligas de níquel (UNS N06625) e juntas soldadas de aços inoxidáveis duplex (UNS S32205) e superduplex (UNS S32750).","TEMAS TRANSVERSAIS","MATERIAIS","CORROSÃO E PROTEÇÃO",NA,NA,"UFC","UFC - Laboratório de Pesquisa e Tecnologia em Soldagem - LPTS",NA,"28/12/2017",24,"R$ 1203609,45","UFC"
"282","20296-0","Avaliação da influência da temperatura de interpasse na soldagem de aços microligados, ARBL e cladeados com ligas de Ni","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Caracterizar e analisar os efeitos do aumento na temperatura de interpasse na microestrutura e propriedades de juntas soldadas para diferentes aços, de forma a identificar os limiares máximos de temperatura de interpasse que resultem em propriedades (tenacidade, dureza, resistência a corrosão, entre outros) aceitáveis, permitindo maior ganho de produtividade na mecanização/automação de processos de soldagem. Para aços (ARBL) também será estudada a influência da temperatura de pré aquecimento.","TEMAS TRANSVERSAIS","MATERIAIS","INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS",NA,NA,"UFRJ","UFRJ - Laboratório Nacional de Tecnologia da Soldagem",NA,"26/12/2017",30,"R$ 4172329,43","UFRJ"
"283","20297-8","Desenvolvimento de metodologia para identificação e quantificação de oxigenados em derivados por abordagem microfluidica","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","A determinação de monoetilenoglicol na indústria de petróleo faz-se necessária para aumentar o controle sobre as dosagens deste inibidor de formação de hidratos. Logo, o objetivo principal deste projeto é o desenvolvimento de métodos eletroanalíticos instrumentais que possibilitem a determinação simultânea de insumos oxigenados químicos, em especial o monoetilenoglicol e etanol.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"CNPEM","CNPEM - Laboratório Nacional de Nanotecnologia - LNNano",NA,"27/12/2017",18,"R$ 496069,25","CNPEM"
"284","20298-6","Petroleômica por Electrospray (ESI) e Espectrometria de Massas por MegaOrbitrap (ESI-MegaOrb-MS): Um Novo Paradigma na Análise de Petróleo","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Os protocolos atuais de ESI-FT-ICR MS tem sido usado por pesquisadores no mundo todo, e também pelos principais centros e indústrias de petróleo. Enrtetanto, constatou-se que o MegaOrbitrap, a técnica denominada de MegaOrbMS, possui performance superior ao nosso FT-ICR MS, e com isso, será buscado o desenvolvimento de estratégias inovadoras - pioneiras no mundo - com a técnica de MegaOrbMS em petroleômica.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS",NA,NA,"UNICAMP","UNICAMP - Laboratório ThoMSon de Espectrometria de Massas",NA,"27/12/2017",24,"R$ 1587479,86","UNICAMP"
"285","20299-4","Avaliação e Desenvolvimento de Aplicação de Solventes Oxigenados","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Construção de um Roadmap para solventes oxigenados e não oxigenados e de uma modelagem em Aspen Plus para um processo de produção de gliceril mono-di-terci-butil éteres (GTBE).","BIOCOMBUSTÍVEIS","BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO)","AVALIAÇÃO DA SUSTENTABILIDADE",NA,NA,"SENAI-RJ","SENAI-RJ - INSTITUTO SENAI DE INOVAÇÃO EM BIOSSINTÉTICOS_OFICIAL",NA,"27/12/2017",10,"R$ 149600,00","SENAI-RJ"
"286","20300-0","Estudo de revestimentos metálicos aplicados por aspersão térmica para proteção catódica interna de juntas soldadas em dutos e linhas revestidas internamente.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste estudo é a avaliação da utilização de revestimentos de ligas metálicas para proteção catódica de juntas soldadas em dutos de transporte de meios corrosivos. Estes revestimentos atuarão como ânodos metalizados e serão depositados por aspersão térmica na região a montante e a jusante da junta soldada. Será montado um sistema de dutos em escala real que permitirá definir e avaliar métodos anticorrosivos mais representativos e condizentes com as operações de campo.","TEMAS TRANSVERSAIS","DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE","TECNOLOGIA DE DUTOS",NA,NA,"INT","INT - Laboratório de Corrosão e Proteção - LACOR",NA,"28/12/2017",44,"R$ 6815243,44","INT"
"287","20301-8","Imago3D: Rocha Digital Aplicada a Sistemas Porosos Multiescalares","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O presente projeto objetiva dar continuidade à construção do software Imago3D, implantando-se um conjunto de novas funcionalidades, ampliando-se substancialmente as ferramentas para a caracterização do sistema poroso 3D e a predição de propriedades petrofísicas.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES",NA,NA,"UFSC","UFSC - Laboratório de Meios Porosos e Propriedades Termofísicas - LMPT",NA,"22/12/2017",24,"R$ 3259486,65","UFSC"
"288","20302-6","Detectores de CO2/CH4 no Pré-Sal","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Projetar, construir e testar em câmara hiperbárica, simulando pressões em torno de 2 mil metros de lâminas d'água, um protótipo constituído de um conjunto de sensores e reservatórios de dióxido de carbono (CO2) e Metano (CH4) que possam simular e futuramente detectar possíveis vazamentos de CO2 e CH4, no fundo oceânico com profundidades em torno de 2 mil metros.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO",NA,NA,"UFRJ","UFRJ - LASPI - Laboratório de Aplicações Tecnológicas para Setores Produtivo e Industrial",NA,"26/12/2017",12,"R$ 465862,08","UFRJ"
"289","20303-4","Desenvolvimento de Técnicas Experimentais para Otimização Técnico-econômica do Processo de Medição de Volume de Líquido em Tanques e Tubulações","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Qualificar metrologicamente um medidor de vazão e usá-lo para calibrar in loco outros com inviabilidade de sua retirada  para calibração, e verificação de desempenho daqueles instalados inadequadamente.
    Usar a velocidade do som já medida por medidores ultrassônicos de vazão para determinar o teor de água sem necessidade de outro medidor.
    Desenvolver um medidor de interface óleo-água com base no perfil de pressão estática para medição mais precisa  do volume de óleo em um tanque.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MEDIÇÃO DA PRODUÇÃO - NOVAS TECNOLOGIAS E PROCEDIMENTOS",NA,NA,"PUC-Rio","PUC-Rio - LAME - Laboratório de Avaliação Metrológica e Energética",NA,"28/12/2017",24,"R$ 1201342,72","PUC-Rio"
"290","20304-2","Tracelift - Melhorias e Adequação","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de uma nova versão do TRACELIFT, simulador de avaliação do comportamento dinâmico de poços do petróleo operando por GLC, que possa manter as características, facilidades e estabilidade da versão desenvolvida por Kwon Il Choi, agregando novas funcionalidades, nova interface e documentação adequada para programadores e usuários, que possibilite flexibilidade de importação dos dados de versões anteriores do TRACELIFT, bem como a geração de relatórios.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS E MÉTODOS DE ELEVAÇÃO ARTIFICIAL",NA,NA,"UFRN","UFRN - Grupo de P&D&I em Instrumentação, Automação e Controle Aplicada ao Petróleo e Gás",NA,"28/12/2017",24,"R$ 299894,28","UFRN"
"291","20305-9","Projeto de Desenvolvimento de Sistemas de Otimização e Controle Avançado com o ambiente MPA - Módulos de Procedimentos Automatizados","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver novos algoritmos de automação e controle avançado, otimizar e estabilizar unidades da indústria de petróleo e principalmente as plataformas de produção. Implantar esses algoritmos em instalações piloto para avaliá-los em cenários práticos.

Ajustar e evoluir os recursos do sistema MPA para desenvolvimento dos algoritmos de automação, para tornar o MPA uma ferramenta ainda mais adequada para o desenvolvimento das soluções desenvolvidas neste projeto e em outras atividades futuras.","ABASTECIMENTO","REFINO","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"PUC-Rio","PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio",NA,"28/12/2017",24,"R$ 2851069,96","PUC-Rio"
"292","20306-7","Projeto BR-TUNING MIMO II - Novos Métodos para Avaliação e Sintonia de Controladores Descentralizados","PETROBRAS","PETROBRAS","PESQUISA APLICADA","*	Desenvolvimento de novas técnicas para a sintonia (simultânea) de controladores PIDs descentralizados.","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"UFCG","UFCG - Laboratório  de Instrumentação Eletrônica e Controle - LIEC",NA,"26/12/2017",24,"R$ 1048835,20","UFCG"
"293","20307-5","Execução do Projeto Desenvolvimento de Técnicas Especiais de Soldagem para Manutenção em UEPs","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Objetivo principal deste projeto é desenvolver técnicas alternativas de soldagem para manutenção de equipamentos e tubulações (instalações de superfície em plataformas marítimas de produção), construídos com materiais especiais, em parada ou em operação, visando aumento de confiabilidade e redução nos tempos de intervenção.","TEMAS TRANSVERSAIS","MATERIAIS","CORROSÃO E PROTEÇÃO",NA,NA,"UFC","UFC - Laboratório de Pesquisa e Tecnologia em Soldagem - LPTS",NA,"28/12/2017",36,"R$ 2185198,26","UFC"
"294","20308-3","Projeto VR-SimOps - Ferramenta 3D de Planejamento e Monitoração de Operações Simultâneas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste projeto é permitir o planejamento e monitoramento de operações simultâneas, rotineiras e de emergência, com capacidade de visualizar o espaço tridimensional, ou seja, superfície, subsuperfície e solo marinho.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MODELAGEM E PREVENÇÃO DE IMPACTOS AMBIENTAIS",NA,NA,"PUC-Rio","PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio",NA,"28/12/2017",36,"R$ 3287416,87","PUC-Rio"
"295","20309-1","Experimento e simulação numérica para a avaliação da formação de borra em tanques de armazenamento de petróleo","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo é realizar ensaios em tanque de armazenamento experimental com agitadores e estudar como o escoamento influencia na formação da borra. Os resultados serão usados no desenvolvimento de simulações 3D com  CFD e obter informações dos padrões de escoamento no interior do tanque e gerar como produto um abaco com dados de fluxos, velocidades, rotação, posição de impelidores e outras variáveis de interesse para se definir condições operacionais que reduzam a borra com melhor custo-benefício.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"28/12/2017",36,"R$ 1433582,56","UNICAMP"
"296","20310-9","Análise Experimental e Numérica dos Efeitos Geomecânicos e Geoquímicos de Rochas Carbonáticas - Injeção de Fluidos Reativos","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","O objetivo geral deste projeto consiste em quantificar os efeitos da interação rocha-fluido quando a rocha está submetida a diferentes trajetórias de tensões e diferentes fluidos de injeção, através de experimentos e modelos numéricos, com a finalidade de avaliar a integridade geoquímica e geomecânica das rochas carbonáticas.Os dados obtidos experimentalmente serão usados na validação do modelo acoplado termo-hidro-mecânico-químico a partir do código numérico in house CODE_BRIGHT.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS",NA,NA,"UFPE","UFPE - Laboratório de Métodos Computacionais em Geomecanica - LMCG",NA,"28/12/2017",36,"R$ 3382541,05","UFPE"
"297","20311-7","Estudo de deposição de parafina em dutos - Fase 2","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","O objetivo geral do projeto é levantar dados de qualidade em escala de laboratório sobre a espessura e composição de depósitos de parafina. Estes dados serão utilizados na validação de modelos computacionais de deposição desenvolvidos também como parte do projeto. Espera-se com este estudo obter-se um melhor entendimento do fenômeno da deposição de parafina em dutos.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de Engenharia de Fluidos",NA,"28/12/2017",36,"R$ 3247777,39","PUC-Rio"
"298","20312-5","Projeto Pesquisa e Desenvolvimento de Métodos para Caracterização de Reservatórios via Inversão Sísmica Conjunta para Propriedades Petrofísicas e Litofácies integrada com a Simulação de Pseudo-Poços","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver atividades de Pesquisa e Desenvolvimento de algoritmos e ferramentas para solução do problema de inversão sísmica conjunta para propriedades petrofísicas e de fácies com estimativa da incerteza. Conhecimentos a priori sobre o reservatório, tais como o ambiente deposicional, as estatísticas espaciais, os modelos de física de rocha e as probabilidades de litofácies. devem ser incorporados resultando numa diminuição da ambiguidade inerente aos métodos tradicionais.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS",NA,NA,"UFSC","UFSC - Laboratório de Conexionismo e Ciências Cognitivas - L3C",NA,"28/12/2017",36,"R$ 5061254,14","UFSC"
"299","20313-3","Desenvolvimento de superfície tipo """"SLIPS"""" (""""slippery liquid infused porous surface"""") como revestimento anti-incrustante","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Desenvolver superfícies denominadas """"SLIPS"""" (Slipery Liquid Infused Porous Surface) com caráter anti-incrustante. (inibidoras da formação e adesão de incrustações inorgânicas em sistemas para a produção eprocessamento do petróleo).","TEMAS TRANSVERSAIS","MATERIAIS","NOVOS MATERIAIS",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"28/12/2017",24,"R$ 1313295,10","UNICAMP"
"300","20314-1","Tomografia Sísmica do Sudeste do Brasil.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Esse trabalho visa utilizar o  método de tomografia  para melhorar  conhecimento da estrutura crustal da região Sudeste Brasileira e , dessa forma, prover um modelo tomográfico  para a região que  poderá servir como base para um modelo de velocidade 3D para a região.  Manutenção e expansão da rede Rede do Sul e do Sudeste (RSIS)","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS",NA,NA,"ON","ON - Laboratório de Geofísica Aplicada",NA,"28/12/2017",36,"R$ 2510678,52","ON"
"301","20315-8","AUSPEX - Advanced Ultrasound Signal Processing for Equipment inspeCtionS - Desenvolvimento de Técnicas Avançadas de Processamento de Sinais para Inspeções de Equipamentos Submarinos por Ultrassom.","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","O objetivo deste projeto de pesquisa e inovação é desenvolver e avaliar minuciosamente o desempenho de algoritmos de processamento avançado de sinais de ultrassom para auxiliar em inspeções submarinas. Os resultados esperados são um melhor aproveitamento dos sinais adquiridos, com detecções e dimensionamentos mais precisos de defeitos, além da redução do tempo de inspeção off-shore, reduzindo custos de embarques e operação de ROVs.","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"UTFPR","UTFPR - LASCA -  Laboratório de Automação e Sistemas de Controle Avançado",NA,"29/12/2017",36,"R$ 2208593,76","UTFPR"
"302","20316-6","Interferometria Sísmica","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Este projeto objetiva investigar a tecnologia de interferometria sísmica para aplicação em problemas da exploração de petróleo no Brasil em áreas de geologia complexa, onde o campo de onda perde coerência ou ocorre falta de iluminação. Pretendemos implementar novos algoritmos, cujo objetivo é o aumento da qualidade do imageamento sísmico, reduzindo assim o risco exploratório nessas situações. Destacamos a redatumação dos dados e a separação do campo de onda como aplicações mais importantes.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"28/12/2017",36,"R$ 1576333,67","UNICAMP"
"303","20317-4","ESTUDO DO COMPORTAMENTO TERMODINÂMICO DE MISTURAS DE FLUIDOS DE PERFURAÇÃO BASE ORGÂNICA COM GÁS CARBÔNICO E METANO","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste trabalho é o estudo do comportamento PVT de misturas de CO2, presente em altas concentrações nos reservatórios carbonáticos do pré-sal, com o fluido de perfuração base orgânica, analisando-se características de solubilidade do gás. Além disso, pretende-se utilizar também, o metano, que é o principal componente do gás natural. Como base orgânica do fluido de perfuração, planeja-se empregar olefinas e glicerina.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","PERFURAÇÃO E COMPLETAÇÃO - TÉCNICAS E TECNOLOGIAS",NA,NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"28/12/2017",24,"R$ 560228,97","UNICAMP"
"304","20318-2","Projeto de Desenvolvimento e Inovação Tecnológica de Sistemas de Medição e Modelagem do Efeito Joule-Thompson para Fluidos Pressurizados puros e Misturas Simples","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenvolver, projetar e construir aparatos experimentais para medidas diretas e modelagem termodinâmica do efeito Joule-Thompson, J-T, para gases puros e misturas simples bem como a modelagem matemática do escoamento.","BIOCOMBUSTÍVEIS","ENERGIA A PARTIR DE OUTRAS FONTES DE BIOMASSA","GASEIFICAÇÃO DE BIOMASSA",NA,NA,"UEM","UEM - Síntese de Processos Verdes",NA,"28/12/2017",18,"R$ 493224,00","UEM"
"305","20319-0","DESENVOLVIMENTO DE TÉCNICAS AVANÇADAS PARA CARACTERIZAÇÃO DE MATERIAIS E AVALIAÇÃO DE PAVIMENTOS ASFÁLTICOS NO BRASIL, COM A UNIVERSIDADE FEDERAL DO CEARÁ","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo é apresentar inovações quanto à caracterização de materiais e à avaliação de pavimentos com vistas ao aprimoramento do método de dimensionamento brasileiro para pavimentos asfálticos, desenvolvido parcialmente pela Petrobras e universidades no país. Além do monitoramento de pistas experimentais no Ceará, serão abordados aspectos de reologia em diferentes escalas das misturas asfálticas, deformação permanente, além de tratamentos superficiais e camadas granulares.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"UFC","UFC - Laboratório de Mecânica dos Pavimentos",NA,"28/12/2017",48,"R$ 3773126,20","UFC"
